blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001223,150010201001223,G15000100201003065,150010201003065,1,1
G15000100201001224,150010201001224,G15000100201003065,150010201003065,1,1
G15000100201001225,150010201001225,G15000100201003066,150010201003066,1,1
G15000100201001226,150010201001226,G15000100201003067,150010201003067,1,1
G15000100201001227,150010201001227,G15000100201003067,150010201003067,1,1
G15000100201001228,150010201001228,G15000100201003067,150010201003067,1,1
G15000100201001229,150010201001229,G15000100201003020,150010201003020,1,1
G15000100201001230,150010201001230,G15000100201003020,150010201003020,1,1
G15000100201001231,150010201001231,G15000100201003076,150010201003076,1,1
G15000100201001232,150010201001232,G15000100201003077,150010201003077,1,1
G15000100201001233,150010201001233,G15000100201003075,150010201003075,1,1
G15000100201001234,150010201001234,G15000100201003067,150010201003067,1,1
G15000100201001235,150010201001235,G15000100201003067,150010201003067,1,1
G15000100201001236,150010201001236,G15000100201003067,150010201003067,1,1
G15000100201001237,150010201001237,G15000100201003067,150010201003067,1,1
G15000100201001238,150010201001238,G15000100201003020,150010201003020,1,1
G15000100201001239,150010201001239,G15000100201003020,150010201003020,1,1
G15000100201001240,150010201001240,G15000100201003020,150010201003020,1,1
G15000100201001241,150010201001241,G15000100201003020,150010201003020,1,1
G15000100201001242,150010201001242,G15000100201003020,150010201003020,1,1
G15000100201001243,150010201001243,G15000100201003066,150010201003066,1,1
G15000100201001244,150010201001244,G15000100201003066,150010201003066,1,1
G15000100201001245,150010201001245,G15000100201003020,150010201003020,1,1
G15000100201001246,150010201001246,G15000100201003020,150010201003020,1,1
G15000100201001247,150010201001247,G15000100201003020,150010201003020,1,1
G15000100201001248,150010201001248,G15000100201003020,150010201003020,1,1
G15000100201001249,150010201001249,G15000100201003020,150010201003020,1,1
G15000100201001250,150010201001250,G15000100201003020,150010201003020,1,1
G15000100201001251,150010201001251,G15000100201003020,150010201003020,1,1
G15000100201001252,150010201001252,G15000100201003067,150010201003067,1,1
G15000100201001253,150010201001253,G15000100201003067,150010201003067,1,1
G15000100201001254,150010201001254,G15000100201003020,150010201003020,1,1
G15000100201001255,150010201001255,G15000100201003020,150010201003020,1,1
G15000100201001256,150010201001256,G15000100201003020,150010201003020,1,1
G15000100201001257,150010201001257,G15000100201003020,150010201003020,1,1
G15000100201001258,150010201001258,G15000100201003067,150010201003067,1,1
G15000100201001259,150010201001259,G15000100201003020,150010201003020,1,1
G15000100201001260,150010201001260,G15000100201003067,150010201003067,1,1
G15000100201001261,150010201001261,G15000100201003023,150010201003023,1,1
G15000100201001262,150010201001262,G15000100201003020,150010201003020,1,1
G15000100201001263,150010201001263,G15000100201003020,150010201003020,1,1
G15000100201001264,150010201001264,G15000100201003020,150010201003020,1,1
G15000100201001265,150010201001265,G15000100201003088,150010201003088,1,1
G15000100201001266,150010201001266,G15000100201003088,150010201003088,1,1
G15000100201001267,150010201001267,G15000100201003023,150010201003023,1,1
G15000100201001268,150010201001268,G15000100201003087,150010201003087,1,1
G15000100201001269,150010201001269,G15000100201003085,150010201003085,1,1
G15000100201001270,150010201001270,G15000100201003085,150010201003085,1,1
G15000100201001271,150010201001271,G15000100201003085,150010201003085,1,1
G15000100201001272,150010201001272,G15000100201003020,150010201003020,1,1
G15000100201001273,150010201001273,G15000100201003021,150010201003021,1,1
G15000100201001274,150010201001274,G15000100201003020,150010201003020,1,1
G15000100201001275,150010201001275,G15000100201003020,150010201003020,1,1
G15000100201001276,150010201001276,G15000100201003020,150010201003020,1,1
G15000100201001277,150010201001277,G15000100201003085,150010201003085,1,1
G15000100201001278,150010201001278,G15000100201003085,150010201003085,1,1
G15000100201001279,150010201001279,G15000100201003089,150010201003089,1,1
G15000100201001280,150010201001280,G15000100201003085,150010201003085,1,1
G15000100201001281,150010201001281,G15000100201003085,150010201003085,1,1
G15000100201001282,150010201001282,G15000100201003085,150010201003085,1,1
G15000100201001283,150010201001283,G15000100201003085,150010201003085,1,1
G15000100201001284,150010201001284,G15000100201003024,150010201003024,1,1
G15000100201001285,150010201001285,G15000100201003044,150010201003044,1,1
G15000100201001286,150010201001286,G15000100201003044,150010201003044,1,1
G15000100201001287,150010201001287,G15000100201003044,150010201003044,1,1
G15000100201001288,150010201001288,G15000100201003044,150010201003044,1,1
G15000100201001289,150010201001289,G15000100201003085,150010201003085,1,1
G15000100201001290,150010201001290,G15000100201003024,150010201003024,1,1
G15000100201001291,150010201001291,G15000100201003020,150010201003020,1,1
G15000100201001292,150010201001292,G15000100201003020,150010201003020,1,1
G15000100201001293,150010201001293,G15000100201003020,150010201003020,1,1
G15000100201001294,150010201001294,G15000100201003019,150010201003019,1,1
G15000100201001295,150010201001295,G15000100201003014,150010201003014,1,1
G15000100201001296,150010201001296,G15000100201003020,150010201003020,1,1
G15000100201001297,150010201001297,G15000100201003043,150010201003043,1,1
G15000100201001298,150010201001298,G15000100201003043,150010201003043,1,1
G15000100201001299,150010201001299,G15000100201003043,150010201003043,1,1
G15000100201001300,150010201001300,G15000100201003043,150010201003043,1,1
